trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SALG10,1010,,,,0
4,SBRL10,1000,,,,0
6,SARG50,1050,,,,0
8,SALG10,1060,,,,0
10,SALG10,1070,,,,0
12,SARG50,1120,,,,0
14,SBRG10,1130,,,,0
16,SBLL50,1080,,,,0
18,SALG10,1090,,,,0
20,SBLG50,1140,,,,0
22,SBRL10,1130,,,,0
24,SBLL50,1080,,,,0
26,SARG50,1130,,,,0
28,SARL50,1080,,,,0
30,SALG10,1090,,,,0
32,SBRL10,1080,,,,0
34,SBRG10,1090,,,,0
36,SBLL50,1040,,,,0
38,SALL10,1030,,,,0
40,SALG10,1040,,,,0
42,SBLG50,1090,,,,0
44,SBLL50,1040,,,,0
46,SALG10,1050,,,,0
48,SALG10,1060,,,,0
50,SARL50,1010,,,,0
52,SBLL50,960,,,,0
54,SBRG10,970,,,,0
56,SALG10,980,,,,0
58,SALL10,970,,,,0
60,SALL10,960,,,,0
62,SALG10,970,,,,0
64,SBLL50,920,,,,0
66,SBLG50,970,,,,0
68,SBRL10,960,,,,0
70,SBRL10,950,,,,0
72,SBRL10,940,,,,0
2,SBLL50,890,,,,0
4,SARL50,840,,,,0
6,SARG50,890,,,,0
8,SBRL10,880,,,,0
10,SALL10,870,,,,0
12,SALL10,860,,,,0
14,SBRL10,850,,,,0
16,SALL10,840,,,,0
18,SARG50,890,,,,0
20,SBLG50,940,,,,0
22,SARL50,890,,,,0
24,SALL10,880,,,,0
26,SBLL50,830,,,,0
28,SBRG10,840,,,,0
30,SBRG10,850,,,,0
32,SBRG10,860,,,,0
34,SALL10,850,,,,0
36,SALL10,840,,,,0
38,SBRG10,850,,,,0
40,SALG10,860,,,,0
42,SARL50,810,,,,0
44,SARL50,760,,,,0
46,SBRG10,770,,,,0
48,SBRG10,780,,,,0
50,SALG10,790,,,,0
52,SALG10,800,,,,0
54,SBRL10,790,,,,0
56,SBRG10,800,,,,0
58,SBRL10,790,,,,0
60,SALL10,780,,,,0
62,SBLG50,830,,,,0
64,SBRG10,840,,,,0
66,SBRG10,850,,,,0
68,SBLL50,800,,,,0
70,SALG10,810,,,,0
72,SALL10,800,,,,0
2,SBRL10,790,,,,0
4,SBRG10,800,,,,0
6,SALG10,810,,,,0
8,SBLG50,860,,,,0
10,SBRG10,870,,,,0
12,SALL10,860,,,,0
14,SALL10,850,,,,0
16,SBRG10,860,,,,0
18,SBRG10,870,,,,0
20,SBRL10,860,,,,0
22,SALL10,850,,,,0
24,SBLL50,800,,,,0
26,SBLG50,850,,,,0
28,SBRL10,840,,,,0
30,SALL10,830,,,,0
32,SALL10,820,,,,0
34,SALL10,810,,,,0
36,SARL50,760,,,,0
38,SALG10,770,,,,0
40,SALG10,780,,,,0
42,SALG10,790,,,,0
44,SBRL10,780,,,,0
46,SALG10,790,,,,0
48,SALG10,800,,,,0
50,SBRG10,810,,,,0
52,SALG10,820,,,,0
54,SARG50,870,,,,0
56,SBRL10,860,,,,0
58,SBLG50,910,,,,0
60,SBRL10,900,,,,0
62,SBRL10,890,,,,0
64,SBRG10,900,,,,0
66,SALL10,890,,,,0
68,SBLL50,840,,,,0
70,SALL10,830,,,,0
72,SALL10,820,,,,0
2,SALG10,830,,,,0
4,SBRG10,840,,,,0
6,SALL10,830,,,,0
8,SALL10,820,,,,0
10,SBLL50,770,,,,0
12,SARG50,820,,,,0
14,SBRL10,810,,,,0
16,SBRG10,820,,,,0
18,SALG10,830,,,,0
20,SBRL10,820,,,,0
22,SBLL50,770,,,,0
24,SALG10,780,,,,0
26,SBRL10,770,,,,0
28,SBRG10,780,,,,0
30,SBLL50,730,,,,0
32,SBRL10,720,,,,0
34,SBRL10,710,,,,0
36,SALG10,720,,,,0
38,SBLL50,670,,,,0
40,SALG10,680,,,,0
42,SALG10,690,,,,0
44,SALG10,700,,,,0
46,SALG10,710,,,,0
48,SALG10,720,,,,0
50,SBRG10,730,,,,0
52,SBRL10,720,,,,0
54,SBLG50,770,,,,0
56,SBLG50,820,,,,0
58,SBLG50,870,,,,0
60,SALG10,880,,,,0
62,SALG10,890,,,,0
64,SALL10,880,,,,0
66,SALL10,870,,,,0
68,SARL50,820,,,,0
70,SBRL10,810,,,,0
72,SALL10,800,,,,0
1,QuestionS,800,,,１０点が外れたとき，どのように感じましたか？,S3
2,QuestionS,800,,,５０点が当たったとき，どのように感じましたか？,S6
3,QuestionS,800,,,１０点が当たったとき，どのように感じましたか？,S5
4,QuestionS,800,,,５０点が外れたとき，どのように感じましたか？,S1
1,QuestionM,800,不安な,1抑うつ・不安,,M3
2,QuestionM,800,注意深い,7集中,,M4
3,QuestionM,800,退屈な,3倦怠,,M2
4,QuestionM,800,元気いっぱいの,4活動的快,,M1
5,QuestionM,800,悩んでいる,1抑うつ・不安,,M1
6,QuestionM,800,疲れた,3倦怠,,M2
7,QuestionM,800,おっとりした,5非活動的快,,M3
8,QuestionM,800,すてきな,6親和,,M2
9,QuestionM,800,はつらつとした,4活動的快,,M2
10,QuestionM,800,愛らしい,6親和,,M1
11,QuestionM,800,はっとした,8驚愕,,M1
12,QuestionM,800,攻撃的な,2敵意,,M1
13,QuestionM,800,びくりとした,8驚愕,,M2
14,QuestionM,800,動揺した,8驚愕,,M4
15,QuestionM,800,ていねいな,7集中,,M3
16,QuestionM,800,丁重な,7集中,,M3
17,QuestionM,800,憎らしい,2敵意,,M1
18,QuestionM,800,ゆっくりした,5非活動的快,,M3
19,QuestionM,800,恋しい,6親和,,M1
20,QuestionM,800,のどかな,5非活動的快,,M1
21,QuestionM,800,のんきな,5非活動的快,,M3
22,QuestionM,800,びっくりした,8驚愕,,M1
23,QuestionM,800,驚いた,8驚愕,,M1
24,QuestionM,800,好きな,6親和,,M2
25,QuestionM,800,思慮深い,7集中,,M2
26,QuestionM,800,敵意のある,2敵意,,M2
27,QuestionM,800,気がかりな,1抑うつ・不安,,M3
28,QuestionM,800,慎重な,7集中,,M3
29,QuestionM,800,うらんだ,2敵意,,M1
30,QuestionM,800,活気のある,4活動的快,,M2
31,QuestionM,800,むっとした,2敵意,,M1
32,QuestionM,800,だるい,3倦怠,,M2
33,QuestionM,800,くよくよした,1抑うつ・不安,,M3
34,QuestionM,800,つまらない,3倦怠,,M2
35,QuestionM,800,のんびりした,5非活動的快,,M3
36,QuestionM,800,いとおしい,6親和,,M2
37,QuestionM,800,気力に満ちた,4活動的快,,M2
38,QuestionM,800,無気力な,3倦怠,,M1
39,QuestionM,800,自信がない,1抑うつ・不安,,M4
40,QuestionM,800,陽気な,4活動的快,,M2
