trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBLG50,1050,,,,0
4,SBLL50,1000,,,,0
6,SARG50,1050,,,,0
8,SBLG50,1100,,,,0
10,SARL50,1050,,,,0
12,SBLG50,1100,,,,0
14,SARL50,1050,,,,0
16,SBLL50,1000,,,,0
18,SARL50,950,,,,0
20,SARG50,1000,,,,0
22,SARG50,1050,,,,0
24,SBLL50,1000,,,,0
26,SARG50,1050,,,,0
28,SARL50,1000,,,,0
30,SBLG50,1050,,,,0
32,SBLL50,1000,,,,0
34,SARL50,950,,,,0
36,SARL50,900,,,,0
38,SARG50,950,,,,0
40,SBLG50,1000,,,,0
42,SARL50,950,,,,0
44,SBLG50,1000,,,,0
46,SARL50,950,,,,0
48,SARL50,900,,,,0
50,SARL50,850,,,,0
52,SBLG50,900,,,,0
54,SBLG50,950,,,,0
56,SBLG50,1000,,,,0
58,SARG50,1050,,,,0
60,SBLL50,1000,,,,0
62,SBLG50,1050,,,,0
64,SARL50,1000,,,,0
66,SBLG50,1050,,,,0
68,SARL50,1000,,,,0
70,SBLL50,950,,,,0
72,SBLL50,900,,,,0
2,SBLG50,950,,,,0
4,SBLG50,1000,,,,0
6,SBRG10,1010,,,,0
8,SBRL10,1000,,,,0
10,SARL50,950,,,,0
12,SARL50,900,,,,0
14,SBLG50,950,,,,0
16,SARG50,1000,,,,0
18,SARG50,1050,,,,0
20,SBRG10,1060,,,,0
22,SALL10,1050,,,,0
24,SARL50,1000,,,,0
26,SBLG50,1050,,,,0
28,SARG50,1100,,,,0
30,SBLG50,1150,,,,0
32,SARG50,1200,,,,0
34,SBLG50,1250,,,,0
36,SBLG50,1300,,,,0
38,SALL10,1290,,,,0
40,SALL10,1280,,,,0
42,SBLL50,1230,,,,0
44,SARG50,1280,,,,0
46,SBLL50,1230,,,,0
48,SBLG50,1280,,,,0
50,SBLG50,1330,,,,0
52,SBLL50,1280,,,,0
54,SALL10,1270,,,,0
56,SARG50,1320,,,,0
58,SBLG50,1370,,,,0
60,SBLG50,1420,,,,0
62,SARL50,1370,,,,0
64,SBLL50,1320,,,,0
66,SARL50,1270,,,,0
68,SALL10,1260,,,,0
70,SARL50,1210,,,,0
72,SARL50,1160,,,,0
2,SBLL50,1110,,,,0
4,SALL10,1100,,,,0
6,SARL50,1050,,,,0
8,SBLG50,1100,,,,0
10,SARG50,1150,,,,0
12,SARL50,1100,,,,0
14,SBLG50,1150,,,,0
16,SBLG50,1200,,,,0
18,SARL50,1150,,,,0
20,SARG50,1200,,,,0
22,SBLG50,1250,,,,0
24,SBLG50,1300,,,,0
26,SBRG10,1310,,,,0
28,SALL10,1300,,,,0
30,SBLG50,1350,,,,0
32,SBLL50,1300,,,,0
34,SBRL10,1290,,,,0
36,SBLG50,1340,,,,0
38,SARG50,1390,,,,0
40,SARL50,1340,,,,0
42,SBRG10,1350,,,,0
44,SALL10,1340,,,,0
46,SARL50,1290,,,,0
48,SBLL50,1240,,,,0
50,SBLL50,1190,,,,0
52,SBRG10,1200,,,,0
54,SARG50,1250,,,,0
56,SARG50,1300,,,,0
58,SBRG10,1310,,,,0
60,SARL50,1260,,,,0
62,SBRG10,1270,,,,0
64,SARG50,1320,,,,0
66,SALG10,1330,,,,0
68,SBLL50,1280,,,,0
70,SALL10,1270,,,,0
72,SARL50,1220,,,,0
2,SBLG50,1270,,,,0
4,SBLL50,1220,,,,0
6,SBRL10,1210,,,,0
8,SARL50,1160,,,,0
10,SARL50,1110,,,,0
12,SBLG50,1160,,,,0
14,SARL50,1110,,,,0
16,SBRG10,1120,,,,0
18,SARL50,1070,,,,0
20,SARG50,1120,,,,0
22,SBRG10,1130,,,,0
24,SARG50,1180,,,,0
26,SBLL50,1130,,,,0
28,SBLL50,1080,,,,0
30,SARG50,1130,,,,0
32,SBRL10,1120,,,,0
34,SBLG50,1170,,,,0
36,SBLL50,1120,,,,0
38,SARL50,1070,,,,0
40,SBRL10,1060,,,,0
42,SARG50,1110,,,,0
44,SARG50,1160,,,,0
46,SARG50,1210,,,,0
48,SBLL50,1160,,,,0
50,SARL50,1110,,,,0
52,SARG50,1160,,,,0
54,SARG50,1210,,,,0
56,SARG50,1260,,,,0
58,SBRL10,1250,,,,0
60,SBLG50,1300,,,,0
62,SBLG50,1350,,,,0
64,SBRG10,1360,,,,0
66,SARG50,1410,,,,0
68,SARL50,1360,,,,0
70,SBRG10,1370,,,,0
72,SALL10,1360,,,,0
1,QuestionS,1360,,,５０点が外れたとき，どのように感じましたか？,S3
2,QuestionS,1360,,,１０点が外れたとき，どのように感じましたか？,S3
3,QuestionS,1360,,,５０点が当たったとき，どのように感じましたか？,S5
4,QuestionS,1360,,,１０点が当たったとき，どのように感じましたか？,S5
1,QuestionM,1360,思慮深い,7集中,,M2
2,QuestionM,1360,陽気な,4活動的快,,M3
3,QuestionM,1360,元気いっぱいの,4活動的快,,M2
4,QuestionM,1360,丁重な,7集中,,M2
5,QuestionM,1360,ていねいな,7集中,,M2
6,QuestionM,1360,だるい,3倦怠,,M2
7,QuestionM,1360,好きな,6親和,,M1
8,QuestionM,1360,つまらない,3倦怠,,M2
9,QuestionM,1360,むっとした,2敵意,,M1
10,QuestionM,1360,いとおしい,6親和,,M1
11,QuestionM,1360,疲れた,3倦怠,,M2
12,QuestionM,1360,愛らしい,6親和,,M1
13,QuestionM,1360,攻撃的な,2敵意,,M2
14,QuestionM,1360,びくりとした,8驚愕,,M2
15,QuestionM,1360,無気力な,3倦怠,,M2
16,QuestionM,1360,自信がない,1抑うつ・不安,,M2
17,QuestionM,1360,敵意のある,2敵意,,M2
18,QuestionM,1360,はっとした,8驚愕,,M3
19,QuestionM,1360,のどかな,5非活動的快,,M2
20,QuestionM,1360,注意深い,7集中,,M2
21,QuestionM,1360,のんきな,5非活動的快,,M3
22,QuestionM,1360,うらんだ,2敵意,,M2
23,QuestionM,1360,すてきな,6親和,,M1
24,QuestionM,1360,気がかりな,1抑うつ・不安,,M2
25,QuestionM,1360,退屈な,3倦怠,,M2
26,QuestionM,1360,悩んでいる,1抑うつ・不安,,M2
