trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBLL50,950,,,,0
4,SARG50,1000,,,,0
6,SBLL50,950,,,,0
8,SARL50,900,,,,0
10,SBLG50,950,,,,0
12,SBLG50,1000,,,,0
14,SBLG50,1050,,,,0
16,SARL50,1000,,,,0
18,SARL50,950,,,,0
20,SARL50,900,,,,0
22,SBLL50,850,,,,0
24,SBLL50,800,,,,0
26,SARL50,750,,,,0
28,SBLL50,700,,,,0
30,SARG50,750,,,,0
32,SARL50,700,,,,0
34,SARG50,750,,,,0
36,SBLG50,800,,,,0
38,SBLL50,750,,,,0
40,SBLL50,700,,,,0
42,SARG50,750,,,,0
44,SARG50,800,,,,0
46,SARG50,850,,,,0
48,SARL50,800,,,,0
50,SARG50,850,,,,0
52,SARL50,800,,,,0
54,SBLG50,850,,,,0
56,SBLL50,800,,,,0
58,SBLG50,850,,,,0
60,SBLG50,900,,,,0
62,SBLL50,850,,,,0
64,SARG50,900,,,,0
66,SBLG50,950,,,,0
68,SARL50,900,,,,0
70,SARG50,950,,,,0
72,SBLL50,900,,,,0
2,SBLG50,950,,,,0
4,SARG50,1000,,,,0
6,SBLG50,1050,,,,0
8,SARG50,1100,,,,0
10,SBLG50,1150,,,,0
12,SBLG50,1200,,,,0
14,SBLL50,1150,,,,0
16,SBLL50,1100,,,,0
18,SARL50,1050,,,,0
20,SARG50,1100,,,,0
22,SARG50,1150,,,,0
24,SBLG50,1200,,,,0
26,SBLL50,1150,,,,0
28,SBLG50,1200,,,,0
30,SBLG50,1250,,,,0
32,SBRL10,1240,,,,0
34,SALG10,1250,,,,0
36,SALL10,1240,,,,0
38,SALL10,1230,,,,0
40,SBRL10,1220,,,,0
42,SALG10,1230,,,,0
44,SBRG10,1240,,,,0
46,SBRL10,1230,,,,0
48,SBRL10,1220,,,,0
50,SALL10,1210,,,,0
52,SALG10,1220,,,,0
54,SALG10,1230,,,,0
56,SALG10,1240,,,,0
58,SALG10,1250,,,,0
60,SALL10,1240,,,,0
62,SBRG10,1250,,,,0
64,SBRL10,1240,,,,0
66,SALL10,1230,,,,0
68,SALL10,1220,,,,0
70,SALL10,1210,,,,0
72,SBRL10,1200,,,,0
2,SARL50,1150,,,,0
4,SBLG50,1200,,,,0
6,SBLG50,1250,,,,0
8,SBLL50,1200,,,,0
10,SARG50,1250,,,,0
12,SARL50,1200,,,,0
14,SARL50,1150,,,,0
16,SARL50,1100,,,,0
18,SBLG50,1150,,,,0
20,SBLL50,1100,,,,0
22,SBLG50,1150,,,,0
24,SBLG50,1200,,,,0
26,SBLL50,1150,,,,0
28,SARG50,1200,,,,0
