date,time,subject,group,blocknum,blockcode,trialnum,trialcode,values.CurrentScore,values.QuestionS,values.QuestionM,values.QuestionM2,values.RTselect,response,latency,stimulus1,values.Ngain,values.Nloss
021420,12:32:50,41,FBS赤,1,FirstScreen,1,Pause,1000,,,,0,0,300,blank,0,0
021420,12:32:50,41,FBS赤,2,MMS,1,QuestionM,1000,,ていねいな,7集中,0,M3,9152,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,2,QuestionM,1000,,退屈な,3倦怠,0,M1,3716,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,3,QuestionM,1000,,ゆっくりした,5非活動的快,0,M2,8465,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,4,QuestionM,1000,,うらんだ,2敵意,0,M1,1760,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,5,QuestionM,1000,,はつらつとした,4活動的快,0,M1,1891,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,6,QuestionM,1000,,のどかな,5非活動的快,0,M3,2875,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,7,QuestionM,1000,,すてきな,6親和,0,M3,1382,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,8,QuestionM,1000,,いとおしい,6親和,0,M2,2304,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,9,QuestionM,1000,,気力に満ちた,4活動的快,0,M3,1681,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,10,QuestionM,1000,,つまらない,3倦怠,0,M1,1567,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,11,QuestionM,1000,,活気のある,4活動的快,0,M3,5798,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,12,QuestionM,1000,,びくりとした,8驚愕,0,M1,1731,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,13,QuestionM,1000,,陽気な,4活動的快,0,M3,2387,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,14,QuestionM,1000,,びっくりした,8驚愕,0,M3,2033,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,15,QuestionM,1000,,好きな,6親和,0,M3,1158,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,16,QuestionM,1000,,疲れた,3倦怠,0,M1,1357,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,17,QuestionM,1000,,驚いた,8驚愕,0,M3,6728,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,18,QuestionM,1000,,くよくよした,1抑うつ・不安,0,M1,4235,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,19,QuestionM,1000,,不安な,1抑うつ・不安,0,M2,1999,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,20,QuestionM,1000,,愛らしい,6親和,0,M2,1742,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,21,QuestionM,1000,,のんきな,5非活動的快,0,M2,3792,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,22,QuestionM,1000,,元気いっぱいの,4活動的快,0,M3,1879,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,23,QuestionM,1000,,のんびりした,5非活動的快,0,M3,1247,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,24,QuestionM,1000,,思慮深い,7集中,0,M2,3350,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,25,QuestionM,1000,,気がかりな,1抑うつ・不安,0,M1,5984,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,26,QuestionM,1000,,自信がない,1抑うつ・不安,0,M2,4946,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,27,QuestionM,1000,,注意深い,7集中,0,M3,2016,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,28,QuestionM,1000,,慎重な,7集中,0,M3,1003,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,29,QuestionM,1000,,攻撃的な,2敵意,0,M1,1500,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,30,QuestionM,1000,,はっとした,8驚愕,0,M1,2424,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,31,QuestionM,1000,,おっとりした,5非活動的快,0,M3,1818,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,32,QuestionM,1000,,敵意のある,2敵意,0,M1,4283,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,33,QuestionM,1000,,動揺した,8驚愕,0,M1,2653,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,34,QuestionM,1000,,無気力な,3倦怠,0,M1,1051,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,35,QuestionM,1000,,憎らしい,2敵意,0,M1,952,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,36,QuestionM,1000,,むっとした,2敵意,0,M1,701,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,37,QuestionM,1000,,丁重な,7集中,0,M3,2107,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,38,QuestionM,1000,,だるい,3倦怠,0,M1,3118,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,39,QuestionM,1000,,悩んでいる,1抑うつ・不安,0,M1,1671,R1.png,0,0
021420,12:32:50,41,FBS赤,2,MMS,40,QuestionM,1000,,恋しい,6親和,0,M1,1303,R1.png,0,0
021420,12:32:50,41,FBS赤,3,P,2,SBRL10,990,,,,2054,0,700,5010interval.png,0,1
021420,12:32:50,41,FBS赤,3,P,4,SBRL10,980,,,,3600,0,1100,5010interval.png,0,2
021420,12:32:50,41,FBS赤,3,P,6,SALG10,990,,,,3878,0,700,1050interval.png,1,2
021420,12:32:50,41,FBS赤,3,P,8,SARL50,940,,,,1717,0,1100,1050interval.png,1,3
021420,12:32:50,41,FBS赤,3,P,9,Rest,940,,,,1717,rbuttondblclk,7820,現在の得点は 940 です。,1,3
021420,12:32:50,41,FBS赤,4,Start,1,Rest,1000,,,,1717,rbuttondblclk,4672,現在の得点は 1000 です。,1,3
