trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBLL50,950,,,,0
4,SALL10,940,,,,0
6,SALG10,950,,,,0
8,SARL50,900,,,,0
10,SARG50,950,,,,0
12,SBLG50,1000,,,,0
14,SBRG10,1010,,,,0
16,SALL10,1000,,,,0
18,SBLG50,1050,,,,0
20,SARL50,1000,,,,0
22,SBRG10,1010,,,,0
24,SBLG50,1060,,,,0
26,SBLL50,1010,,,,0
28,SARG50,1060,,,,0
30,SBRL10,1050,,,,0
32,SBRL10,1040,,,,0
34,SBRL10,1030,,,,0
36,SARL50,980,,,,0
38,SBLG50,1030,,,,0
40,SBLG50,1080,,,,0
42,SALG10,1090,,,,0
44,SBLL50,1040,,,,0
46,SBLG50,1090,,,,0
48,SBLL50,1040,,,,0
50,SARG50,1090,,,,0
52,SALL10,1080,,,,0
54,SARL50,1030,,,,0
56,SBLL50,980,,,,0
58,SARL50,930,,,,0
60,SBLL50,880,,,,0
62,SALL10,870,,,,0
64,SARL50,820,,,,0
66,SARG50,870,,,,0
68,SARG50,920,,,,0
70,SARG50,970,,,,0
72,SBLG50,1020,,,,0
2,SBRG10,1030,,,,0
4,SBLG50,1080,,,,0
6,SARG50,1130,,,,0
8,SALG10,1140,,,,0
10,SBLG50,1190,,,,0
12,SARL50,1140,,,,0
14,SALG10,1150,,,,0
16,SBRL10,1140,,,,0
18,SALG10,1150,,,,0
20,SBLL50,1100,,,,0
22,SBLL50,1050,,,,0
24,SBRL10,1040,,,,0
26,SBLG50,1090,,,,0
28,SALL10,1080,,,,0
30,SARG50,1130,,,,0
32,SALG10,1140,,,,0
34,SALL10,1130,,,,0
36,SBRL10,1120,,,,0
38,SBLG50,1170,,,,0
40,SBLG50,1220,,,,0
42,SBRG10,1230,,,,0
44,SARL50,1180,,,,0
46,SALL10,1170,,,,0
48,SALG10,1180,,,,0
50,SBRG10,1190,,,,0
52,SBRL10,1180,,,,0
54,SARL50,1130,,,,0
56,SBRG10,1140,,,,0
58,SALG10,1150,,,,0
60,SBLG50,1200,,,,0
62,SARG50,1250,,,,0
64,SBLL50,1200,,,,0
66,SARL50,1150,,,,0
68,SBLL50,1100,,,,0
70,SARL50,1050,,,,0
72,SALL10,1040,,,,0
2,SBLL50,990,,,,0
4,SARL50,940,,,,0
6,SARG50,990,,,,0
8,SBRL10,980,,,,0
10,SBRG10,990,,,,0
12,SALL10,980,,,,0
14,SARL50,930,,,,0
16,SARL50,880,,,,0
18,SARG50,930,,,,0
20,SBLG50,980,,,,0
22,SBRG10,990,,,,0
24,SBRL10,980,,,,0
26,SBRL10,970,,,,0
28,SALG10,980,,,,0
30,SBRG10,990,,,,0
32,SARL50,940,,,,0
34,SALG10,950,,,,0
36,SBLL50,900,,,,0
38,SBLG50,950,,,,0
40,SALG10,960,,,,0
42,SARG50,1010,,,,0
44,SALL10,1000,,,,0
46,SBLL50,950,,,,0
48,SBLG50,1000,,,,0
50,SBRG10,1010,,,,0
52,SBLG50,1060,,,,0
54,SALG10,1070,,,,0
56,SBLG50,1120,,,,0
58,SALG10,1130,,,,0
60,SARL50,1080,,,,0
62,SBLG50,1130,,,,0
64,SBLG50,1180,,,,0
66,SALL10,1170,,,,0
68,SBLL50,1120,,,,0
70,SARL50,1070,,,,0
72,SARL50,1020,,,,0
2,SBLG50,1070,,,,0
4,SALL10,1060,,,,0
6,SBLL50,1010,,,,0
8,SBRL10,1000,,,,0
10,SARL50,950,,,,0
12,SALL10,940,,,,0
14,SBRG10,950,,,,0
16,SBLG50,1000,,,,0
18,SBLL50,950,,,,0
20,SARL50,900,,,,0
22,SBLL50,850,,,,0
24,SARL50,800,,,,0
26,SALL10,790,,,,0
28,SARG50,840,,,,0
30,SBLL50,790,,,,0
32,SBLG50,840,,,,0
34,SBRL10,830,,,,0
36,SALG10,840,,,,0
38,SBLG50,890,,,,0
40,SARL50,840,,,,0
