trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBLG50,1050,,,,0
4,SBRG10,1060,,,,0
6,SBRL10,1050,,,,0
8,SALL10,1040,,,,0
10,SBLG50,1090,,,,0
12,SALG10,1100,,,,0
14,SARG50,1150,,,,0
16,SBRL10,1140,,,,0
18,SBRL10,1130,,,,0
20,SALG10,1140,,,,0
22,SALL10,1130,,,,0
24,SARL50,1080,,,,0
26,SALL10,1070,,,,0
28,SALL10,1060,,,,0
30,SBLG50,1110,,,,0
32,SARG50,1160,,,,0
34,SBRL10,1150,,,,0
36,SBLG50,1200,,,,0
38,SALL10,1190,,,,0
40,SBLG50,1240,,,,0
42,SALG10,1250,,,,0
44,SBRG10,1260,,,,0
46,SALG10,1270,,,,0
48,SBLG50,1320,,,,0
50,SALL10,1310,,,,0
52,SBLG50,1360,,,,0
54,SBRG10,1370,,,,0
56,SBLL50,1320,,,,0
58,SARG50,1370,,,,0
60,SBLL50,1320,,,,0
62,SALL10,1310,,,,0
64,SALL10,1300,,,,0
66,SARG50,1350,,,,0
68,SALL10,1340,,,,0
70,SBLL50,1290,,,,0
72,SBRL10,1280,,,,0
2,SBRL10,1270,,,,0
4,SBRL10,1260,,,,0
6,SBRG10,1270,,,,0
8,SARL50,1220,,,,0
10,SARL50,1170,,,,0
12,SBLG50,1220,,,,0
14,SBLL50,1170,,,,0
16,SARG50,1220,,,,0
18,SBRG10,1230,,,,0
20,SBLL50,1180,,,,0
22,SARL50,1130,,,,0
24,SALL10,1120,,,,0
26,SBLL50,1070,,,,0
28,SALG10,1080,,,,0
30,SARG50,1130,,,,0
32,SARG50,1180,,,,0
34,SARL50,1130,,,,0
36,SBLG50,1180,,,,0
38,SBRL10,1170,,,,0
40,SBRL10,1160,,,,0
42,SBLL50,1110,,,,0
44,SALL10,1100,,,,0
46,SALL10,1090,,,,0
48,SARG50,1140,,,,0
50,SBRL10,1130,,,,0
52,SALG10,1140,,,,0
54,SBRG10,1150,,,,0
56,SARL50,1100,,,,0
58,SBRL10,1090,,,,0
60,SBRG10,1100,,,,0
62,SALG10,1110,,,,0
64,SALL10,1100,,,,0
66,SALG10,1110,,,,0
68,SBLG50,1160,,,,0
70,SBLG50,1210,,,,0
72,SARG50,1260,,,,0
2,SBRG10,1270,,,,0
4,SBLG50,1320,,,,0
6,SBLG50,1370,,,,0
8,SBLL50,1320,,,,0
10,SALG10,1330,,,,0
12,SBLG50,1380,,,,0
14,SBRL10,1370,,,,0
16,SBLG50,1420,,,,0
18,SALL10,1410,,,,0
20,SBLL50,1360,,,,0
22,SBRL10,1350,,,,0
24,SARG50,1400,,,,0
26,SALL10,1390,,,,0
28,SARL50,1340,,,,0
30,SBRG10,1350,,,,0
32,SBRG10,1360,,,,0
34,SBLL50,1310,,,,0
36,SBLG50,1360,,,,0
38,SALL10,1350,,,,0
40,SBLL50,1300,,,,0
42,SBLG50,1350,,,,0
44,SALL10,1340,,,,0
46,SARG50,1390,,,,0
48,SALL10,1380,,,,0
50,SALG10,1390,,,,0
52,SARL50,1340,,,,0
54,SALL10,1330,,,,0
56,SBLG50,1380,,,,0
58,SALG10,1390,,,,0
60,SALL10,1380,,,,0
62,SALL10,1370,,,,0
64,SBLL50,1320,,,,0
66,SALG10,1330,,,,0
68,SBLL50,1280,,,,0
70,SALG10,1290,,,,0
72,SARL50,1240,,,,0
2,SBLL50,1190,,,,0
4,SALG10,1200,,,,0
6,SALG10,1210,,,,0
8,SALL10,1200,,,,0
10,SALL10,1190,,,,0
12,SALG10,1200,,,,0
14,SALG10,1210,,,,0
16,SBLL50,1160,,,,0
18,SARG50,1210,,,,0
20,SBLL50,1160,,,,0
22,SBRG10,1170,,,,0
24,SBLG50,1220,,,,0
26,SBRL10,1210,,,,0
28,SBLG50,1260,,,,0
30,SBLL50,1210,,,,0
32,SBRL10,1200,,,,0
34,SBLG50,1250,,,,0
36,SALL10,1240,,,,0
38,SBRG10,1250,,,,0
40,SBRG10,1260,,,,0
42,SBLL50,1210,,,,0
44,SBRG10,1220,,,,0
46,SALG10,1230,,,,0
48,SALL10,1220,,,,0
50,SALL10,1210,,,,0
52,SARL50,1160,,,,0
54,SALL10,1150,,,,0
56,SALL10,1140,,,,0
58,SBRL10,1130,,,,0
60,SALL10,1120,,,,0
62,SARL50,1070,,,,0
64,SALL10,1060,,,,0
66,SBRG10,1070,,,,0
68,SALG10,1080,,,,0
