trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SARG50,1050,,,,0
4,SBLL50,1000,,,,0
6,SALL10,990,,,,0
8,SBRG10,1000,,,,0
10,SALL10,990,,,,0
12,SBRL10,980,,,,0
14,SBLL50,930,,,,0
16,SBRG10,940,,,,0
18,SBRG10,950,,,,0
20,SARG50,1000,,,,0
22,SARG50,1050,,,,0
24,SBRG10,1060,,,,0
26,SBRL10,1050,,,,0
28,SALL10,1040,,,,0
30,SBRG10,1050,,,,0
32,SALG10,1060,,,,0
34,SBLG50,1110,,,,0
36,SARG50,1160,,,,0
38,SBRL10,1150,,,,0
40,SBRL10,1140,,,,0
42,SALL10,1130,,,,0
44,SBRG10,1140,,,,0
46,SBRG10,1150,,,,0
48,SARG50,1200,,,,0
50,SARL50,1150,,,,0
52,SBRG10,1160,,,,0
54,SBRG10,1170,,,,0
56,SBLL50,1120,,,,0
58,SALL10,1110,,,,0
60,SALG10,1120,,,,0
62,SBRL10,1110,,,,0
64,SALG10,1120,,,,0
66,SARL50,1070,,,,0
68,SARG50,1120,,,,0
70,SARL50,1070,,,,0
72,SALL10,1060,,,,0
2,SARG50,1110,,,,0
4,SARG50,1160,,,,0
6,SBLG50,1210,,,,0
8,SBLL50,1160,,,,0
10,SBRG10,1170,,,,0
12,SBRL10,1160,,,,0
14,SALL10,1150,,,,0
16,SBRL10,1140,,,,0
18,SALG10,1150,,,,0
20,SALG10,1160,,,,0
22,SBLL50,1110,,,,0
24,SBRG10,1120,,,,0
26,SBRG10,1130,,,,0
28,SALG10,1140,,,,0
30,SARG50,1190,,,,0
32,SARG50,1240,,,,0
34,SALG10,1250,,,,0
36,SBLL50,1200,,,,0
38,SBRG10,1210,,,,0
40,SALL10,1200,,,,0
42,SBRL10,1190,,,,0
44,SBRG10,1200,,,,0
46,SALG10,1210,,,,0
48,SARG50,1260,,,,0
50,SBLG50,1310,,,,0
52,SBLG50,1360,,,,0
54,SARG50,1410,,,,0
56,SBRL10,1400,,,,0
58,SALL10,1390,,,,0
60,SALL10,1380,,,,0
62,SBRL10,1370,,,,0
64,SALL10,1360,,,,0
66,SBRL10,1350,,,,0
68,SBRL10,1340,,,,0
70,SALL10,1330,,,,0
72,SALL10,1320,,,,0
2,SARL50,1270,,,,0
4,SALG10,1280,,,,0
6,SBRL10,1270,,,,0
8,SBRG10,1280,,,,0
10,SBRL10,1270,,,,0
12,SBRG10,1280,,,,0
14,SALG10,1290,,,,0
16,SARL50,1240,,,,0
18,SALL10,1230,,,,0
20,SBRL10,1220,,,,0
22,SARL50,1170,,,,0
24,SBRG10,1180,,,,0
26,SALG10,1190,,,,0
28,SBRL10,1180,,,,0
30,SALG10,1190,,,,0
32,SALG10,1200,,,,0
34,SBLL50,1150,,,,0
36,SBRG10,1160,,,,0
38,SALL10,1150,,,,0
40,SBRG10,1160,,,,0
42,SALG10,1170,,,,0
44,SALL10,1160,,,,0
46,SALL10,1150,,,,0
48,SBRG10,1160,,,,0
50,SBRL10,1150,,,,0
52,SBRL10,1140,,,,0
54,SBRG10,1150,,,,0
56,SBRG10,1160,,,,0
58,SBLL50,1110,,,,0
60,SBRL10,1100,,,,0
62,SARG50,1150,,,,0
64,SARL50,1100,,,,0
66,SBRG10,1110,,,,0
68,SALL10,1100,,,,0
70,SALL10,1090,,,,0
72,SALG10,1100,,,,0
2,SBLL50,1050,,,,0
4,SALL10,1040,,,,0
6,SALG10,1050,,,,0
8,SBRL10,1040,,,,0
10,SALG10,1050,,,,0
12,SALL10,1040,,,,0
14,SALL10,1030,,,,0
16,SBRG10,1040,,,,0
18,SALL10,1030,,,,0
20,SBRG10,1040,,,,0
22,SBRG10,1050,,,,0
24,SBLL50,1000,,,,0
26,SARG50,1050,,,,0
28,SARL50,1000,,,,0
30,SBLG50,1050,,,,0
32,SARG50,1100,,,,0
34,SALG10,1110,,,,0
36,SALG10,1120,,,,0
38,SBLG50,1170,,,,0
40,SBLG50,1220,,,,0
42,SBRL10,1210,,,,0
44,SALG10,1220,,,,0
46,SALG10,1230,,,,0
48,SBLL50,1180,,,,0
50,SALG10,1190,,,,0
52,SALL10,1180,,,,0
54,SALG10,1190,,,,0
56,SBRG10,1200,,,,0
58,SBLL50,1150,,,,0
60,SALG10,1160,,,,0
62,SBRG10,1170,,,,0
64,SBLL50,1120,,,,0
66,SBRL10,1110,,,,0
68,SBRL10,1100,,,,0
70,SALL10,1090,,,,0
72,SBRL10,1080,,,,0
1,QuestionS,1080,,,１０点が外れたとき，どのように感じましたか？,S3
2,QuestionS,1080,,,５０点が外れたとき，どのように感じましたか？,S4
3,QuestionS,1080,,,１０点が当たったとき，どのように感じましたか？,S5
4,QuestionS,1080,,,５０点が当たったとき，どのように感じましたか？,S6
1,QuestionM,1080,好きな,6親和,,M2
2,QuestionM,1080,ていねいな,7集中,,M2
3,QuestionM,1080,思慮深い,7集中,,M2
4,QuestionM,1080,動揺した,8驚愕,,M3
5,QuestionM,1080,無気力な,3倦怠,,M2
6,QuestionM,1080,気力に満ちた,4活動的快,,M2
7,QuestionM,1080,くよくよした,1抑うつ・不安,,M2
8,QuestionM,1080,のんきな,5非活動的快,,M2
9,QuestionM,1080,びっくりした,8驚愕,,M3
10,QuestionM,1080,驚いた,8驚愕,,M3
11,QuestionM,1080,丁重な,7集中,,M2
12,QuestionM,1080,不安な,1抑うつ・不安,,M2
13,QuestionM,1080,おっとりした,5非活動的快,,M2
14,QuestionM,1080,うらんだ,2敵意,,M2
15,QuestionM,1080,悩んでいる,1抑うつ・不安,,M3
16,QuestionM,1080,のんびりした,5非活動的快,,M2
17,QuestionM,1080,元気いっぱいの,4活動的快,,M2
18,QuestionM,1080,愛らしい,6親和,,M1
19,QuestionM,1080,だるい,3倦怠,,M3
20,QuestionM,1080,敵意のある,2敵意,,M2
21,QuestionM,1080,注意深い,7集中,,M2
22,QuestionM,1080,気がかりな,1抑うつ・不安,,M1
23,QuestionM,1080,慎重な,7集中,,M2
24,QuestionM,1080,すてきな,6親和,,M1
25,QuestionM,1080,はつらつとした,4活動的快,,M1
26,QuestionM,1080,疲れた,3倦怠,,M3
27,QuestionM,1080,つまらない,3倦怠,,M2
28,QuestionM,1080,ゆっくりした,5非活動的快,,M2
29,QuestionM,1080,憎らしい,2敵意,,M1
30,QuestionM,1080,自信がない,1抑うつ・不安,,M2
31,QuestionM,1080,はっとした,8驚愕,,M3
32,QuestionM,1080,びくりとした,8驚愕,,M2
33,QuestionM,1080,恋しい,6親和,,M1
34,QuestionM,1080,退屈な,3倦怠,,M2
35,QuestionM,1080,陽気な,4活動的快,,M1
36,QuestionM,1080,むっとした,2敵意,,M3
37,QuestionM,1080,いとおしい,6親和,,M1
38,QuestionM,1080,攻撃的な,2敵意,,M3
39,QuestionM,1080,のどかな,5非活動的快,,M1
40,QuestionM,1080,活気のある,4活動的快,,M1
