trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SALG10,1010,,,,0
4,SALG10,1020,,,,0
6,SBLL50,970,,,,0
8,SBLL50,920,,,,0
10,SBLG50,970,,,,0
12,SARL50,920,,,,0
14,SARG50,970,,,,0
16,SBLL50,920,,,,0
18,SBLL50,870,,,,0
20,SBLG50,920,,,,0
22,SBLG50,970,,,,0
24,SBRG10,980,,,,0
26,SBRG10,990,,,,0
28,SARG50,1040,,,,0
30,SBRL10,1030,,,,0
32,SALL10,1020,,,,0
34,SBRG10,1030,,,,0
36,SBRG10,1040,,,,0
38,SARG50,1090,,,,0
40,SBLG50,1140,,,,0
42,SALG10,1150,,,,0
44,SALL10,1140,,,,0
46,SBRG10,1150,,,,0
48,SALG10,1160,,,,0
50,SBRL10,1150,,,,0
52,SALG10,1160,,,,0
54,SALL10,1150,,,,0
56,SALL10,1140,,,,0
58,SBRG10,1150,,,,0
60,SARL50,1100,,,,0
62,SBLL50,1050,,,,0
64,SALL10,1040,,,,0
66,SBLL50,990,,,,0
68,SARG50,1040,,,,0
70,SARL50,990,,,,0
72,SARL50,940,,,,0
2,SARG50,990,,,,0
4,SBRL10,980,,,,0
6,SBRG10,990,,,,0
8,SBLG50,1040,,,,0
10,SBRG10,1050,,,,0
12,SBRL10,1040,,,,0
14,SARG50,1090,,,,0
16,SALL10,1080,,,,0
18,SBRG10,1090,,,,0
20,SBLG50,1140,,,,0
22,SBRG10,1150,,,,0
24,SARG50,1200,,,,0
26,SBRL10,1190,,,,0
28,SARL50,1140,,,,0
30,SBLL50,1090,,,,0
32,SARG50,1140,,,,0
34,SARG50,1190,,,,0
36,SALL10,1180,,,,0
38,SALG10,1190,,,,0
40,SBRG10,1200,,,,0
42,SBRG10,1210,,,,0
44,SBLG50,1260,,,,0
46,SALG10,1270,,,,0
48,SALG10,1280,,,,0
50,SBRG10,1290,,,,0
52,SARG50,1340,,,,0
54,SARL50,1290,,,,0
56,SBLL50,1240,,,,0
58,SBLL50,1190,,,,0
60,SARL50,1140,,,,0
62,SARL50,1090,,,,0
64,SARL50,1040,,,,0
66,SARL50,990,,,,0
68,SBLL50,940,,,,0
70,SBLL50,890,,,,0
72,SARL50,840,,,,0
2,SARL50,790,,,,0
4,SARL50,740,,,,0
6,SBLG50,790,,,,0
8,SARL50,740,,,,0
10,SARL50,690,,,,0
12,SBLG50,740,,,,0
14,SBLG50,790,,,,0
16,SBLL50,740,,,,0
18,SBLG50,790,,,,0
20,SARG50,840,,,,0
22,SBRG10,850,,,,0
24,SARL50,800,,,,0
26,SARG50,850,,,,0
28,SARL50,800,,,,0
30,SBLL50,750,,,,0
32,SBLL50,700,,,,0
34,SARL50,650,,,,0
36,SARL50,600,,,,0
38,SARG50,650,,,,0
40,SARG50,700,,,,0
42,SBLL50,650,,,,0
44,SBLL50,600,,,,0
46,SBLL50,550,,,,0
48,SARL50,500,,,,0
50,SARG50,550,,,,0
52,SBLL50,500,,,,0
54,SARL50,450,,,,0
56,SBLL50,400,,,,0
58,SBLG50,450,,,,0
60,SBRL10,440,,,,0
62,SBRG10,450,,,,0
64,SBRG10,460,,,,0
66,SBLG50,510,,,,0
68,SARG50,560,,,,0
70,SALG10,570,,,,0
72,SARG50,620,,,,0
2,SALG10,630,,,,0
4,SBRG10,640,,,,0
6,SARG50,690,,,,0
8,SALL10,680,,,,0
10,SALL10,670,,,,0
12,SBLL50,620,,,,0
14,SBLL50,570,,,,0
16,SBRL10,560,,,,0
18,SBRL10,550,,,,0
20,SBLL50,500,,,,0
22,SALG10,510,,,,0
24,SALL10,500,,,,0
