trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SALG10,1010,,,,0
4,SBRG10,1020,,,,0
6,SARL50,970,,,,0
8,SBLG50,1020,,,,0
10,SARG50,1070,,,,0
12,SARG50,1120,,,,0
14,SARL50,1070,,,,0
16,SBRL10,1060,,,,0
18,SBRL10,1050,,,,0
20,SALL10,1040,,,,0
22,SBRL10,1030,,,,0
24,SBLG50,1080,,,,0
26,SALL10,1070,,,,0
28,SARG50,1120,,,,0
30,SBRL10,1110,,,,0
32,SBRG10,1120,,,,0
34,SALL10,1110,,,,0
36,SBRG10,1120,,,,0
38,SALG10,1130,,,,0
40,SALG10,1140,,,,0
42,SALG10,1150,,,,0
44,SBRG10,1160,,,,0
46,SARG50,1210,,,,0
48,SBLL50,1160,,,,0
50,SBLL50,1110,,,,0
52,SARG50,1160,,,,0
54,SBRG10,1170,,,,0
56,SARL50,1120,,,,0
58,SARL50,1070,,,,0
60,SBLG50,1120,,,,0
62,SBLG50,1170,,,,0
64,SBRL10,1160,,,,0
66,SBRL10,1150,,,,0
68,SALG10,1160,,,,0
70,SARL50,1110,,,,0
72,SBLL50,1060,,,,0
2,SBRG10,1070,,,,0
4,SBLG50,1120,,,,0
6,SBRL10,1110,,,,0
8,SALL10,1100,,,,0
10,SBRL10,1090,,,,0
12,SARL50,1040,,,,0
14,SALG10,1050,,,,0
16,SBLG50,1100,,,,0
18,SBRL10,1090,,,,0
20,SBLG50,1140,,,,0
22,SARL50,1090,,,,0
24,SARG50,1140,,,,0
26,SBRL10,1130,,,,0
28,SALG10,1140,,,,0
30,SARG50,1190,,,,0
32,SBLL50,1140,,,,0
34,SBLG50,1190,,,,0
36,SBLG50,1240,,,,0
38,SBRG10,1250,,,,0
40,SARG50,1300,,,,0
42,SBLG50,1350,,,,0
44,SARL50,1300,,,,0
46,SBRL10,1290,,,,0
48,SALG10,1300,,,,0
50,SALG10,1310,,,,0
52,SARL50,1260,,,,0
54,SALL10,1250,,,,0
56,SARG50,1300,,,,0
58,SALG10,1310,,,,0
60,SBLG50,1360,,,,0
62,SBRG10,1370,,,,0
64,SARL50,1320,,,,0
66,SBLL50,1270,,,,0
