trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBLL50,950,,,,0
4,SBRL10,940,,,,0
6,SALL10,930,,,,0
8,SBLG50,980,,,,0
10,SARL50,930,,,,0
12,SALG10,940,,,,0
14,SBRG10,950,,,,0
16,SBRG10,960,,,,0
18,SBRL10,950,,,,0
20,SALL10,940,,,,0
22,SBLG50,990,,,,0
24,SBRG10,1000,,,,0
26,SBRL10,990,,,,0
28,SARG50,1040,,,,0
30,SBRG10,1050,,,,0
32,SALL10,1040,,,,0
34,SARG50,1090,,,,0
36,SBRG10,1100,,,,0
38,SBLL50,1050,,,,0
40,SBRL10,1040,,,,0
42,SARL50,990,,,,0
44,SBLL50,940,,,,0
46,SARL50,890,,,,0
48,SARG50,940,,,,0
50,SARG50,990,,,,0
52,SALG10,1000,,,,0
54,SARG50,1050,,,,0
56,SALG10,1060,,,,0
58,SALL10,1050,,,,0
60,SBLL50,1000,,,,0
62,SBRG10,1010,,,,0
64,SBLG50,1060,,,,0
66,SARG50,1110,,,,0
68,SBRL10,1100,,,,0
70,SARG50,1150,,,,0
72,SARL50,1100,,,,0
2,SBLG50,1150,,,,0
4,SARG50,1200,,,,0
6,SARL50,1150,,,,0
8,SARG50,1200,,,,0
10,SARL50,1150,,,,0
12,SBLL50,1100,,,,0
14,SBRL10,1090,,,,0
16,SALL10,1080,,,,0
18,SBRL10,1070,,,,0
20,SARL50,1020,,,,0
22,SBLG50,1070,,,,0
24,SBLL50,1020,,,,0
26,SBLL50,970,,,,0
28,SARL50,920,,,,0
30,SARG50,970,,,,0
32,SBLL50,920,,,,0
34,SARL50,870,,,,0
36,SALG10,880,,,,0
38,SBLG50,930,,,,0
40,SBRL10,920,,,,0
42,SALL10,910,,,,0
44,SALG10,920,,,,0
46,SARL50,870,,,,0
48,SARG50,920,,,,0
50,SBRL10,910,,,,0
52,SBLG50,960,,,,0
54,SARL50,910,,,,0
56,SALL10,900,,,,0
58,SBRG10,910,,,,0
60,SBLG50,960,,,,0
62,SBRL10,950,,,,0
64,SARG50,1000,,,,0
66,SBRG10,1010,,,,0
68,SALG10,1020,,,,0
70,SBLG50,1070,,,,0
72,SBLG50,1120,,,,0
2,SARL50,1070,,,,0
4,SBRG10,1080,,,,0
6,SALG10,1090,,,,0
8,SBRG10,1100,,,,0
10,SBLG50,1150,,,,0
12,SARG50,1200,,,,0
14,SALG10,1210,,,,0
16,SARG50,1260,,,,0
18,SBRG10,1270,,,,0
20,SARL50,1220,,,,0
22,SALG10,1230,,,,0
24,SARL50,1180,,,,0
26,SARG50,1230,,,,0
28,SBRL10,1220,,,,0
30,SARG50,1270,,,,0
32,SARG50,1320,,,,0
34,SBLL50,1270,,,,0
36,SBLL50,1220,,,,0
38,SBLL50,1170,,,,0
40,SARG50,1220,,,,0
42,SBLG50,1270,,,,0
44,SARL50,1220,,,,0
46,SALG10,1230,,,,0
48,SARL50,1180,,,,0
50,SBLG50,1230,,,,0
52,SBRL10,1220,,,,0
54,SBRL10,1210,,,,0
56,SBLL50,1160,,,,0
58,SARG50,1210,,,,0
60,SARL50,1160,,,,0
62,SBLG50,1210,,,,0
64,SBLG50,1260,,,,0
66,SBRL10,1250,,,,0
68,SBRL10,1240,,,,0
70,SBLL50,1190,,,,0
72,SARL50,1140,,,,0
2,SARG50,1190,,,,0
4,SARG50,1240,,,,0
6,SBLL50,1190,,,,0
8,SBRL10,1180,,,,0
10,SBLG50,1230,,,,0
12,SARG50,1280,,,,0
14,SALG10,1290,,,,0
16,SBRL10,1280,,,,0
18,SBLG50,1330,,,,0
20,SBRL10,1320,,,,0
22,SBLG50,1370,,,,0
24,SALG10,1380,,,,0
26,SALL10,1370,,,,0
28,SARL50,1320,,,,0
30,SBLG50,1370,,,,0
32,SALL10,1360,,,,0
34,SBLL50,1310,,,,0
36,SARG50,1360,,,,0
38,SALL10,1350,,,,0
40,SARG50,1400,,,,0
42,SBLL50,1350,,,,0
44,SARG50,1400,,,,0
46,SBLG50,1450,,,,0
48,SBRL10,1440,,,,0
50,SBLG50,1490,,,,0
52,SARG50,1540,,,,0
54,SBRL10,1530,,,,0
56,SBLG50,1580,,,,0
58,SARG50,1630,,,,0
60,SALG10,1640,,,,0
62,SALG10,1650,,,,0
64,SALL10,1640,,,,0
66,SBLL50,1590,,,,0
68,SBLL50,1540,,,,0
70,SBLL50,1490,,,,0
72,SARL50,1440,,,,0
1,QuestionS,1440,,,１０点が外れたとき，どのように感じましたか？,S3
2,QuestionS,1440,,,５０点が外れたとき，どのように感じましたか？,S3
3,QuestionS,1440,,,５０点が当たったとき，どのように感じましたか？,S7
4,QuestionS,1440,,,１０点が当たったとき，どのように感じましたか？,S6
1,QuestionM,1440,おっとりした,5非活動的快,,M2
2,QuestionM,1440,はつらつとした,4活動的快,,M2
3,QuestionM,1440,攻撃的な,2敵意,,M4
4,QuestionM,1440,慎重な,7集中,,M3
5,QuestionM,1440,好きな,6親和,,M1
6,QuestionM,1440,悩んでいる,1抑うつ・不安,,M1
7,QuestionM,1440,疲れた,3倦怠,,M3
8,QuestionM,1440,うらんだ,2敵意,,M1
9,QuestionM,1440,はっとした,8驚愕,,M1
10,QuestionM,1440,つまらない,3倦怠,,M1
11,QuestionM,1440,恋しい,6親和,,M1
12,QuestionM,1440,憎らしい,2敵意,,M1
13,QuestionM,1440,びっくりした,8驚愕,,M1
14,QuestionM,1440,動揺した,8驚愕,,M2
15,QuestionM,1440,自信がない,1抑うつ・不安,,M1
16,QuestionM,1440,のんびりした,5非活動的快,,M1
17,QuestionM,1440,元気いっぱいの,4活動的快,,M3
18,QuestionM,1440,無気力な,3倦怠,,M1
19,QuestionM,1440,むっとした,2敵意,,M1
