trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SALG10,1010,,,,0
4,SBRL10,1000,,,,0
6,SALL10,990,,,,0
8,SBRG10,1000,,,,0
10,SBLG50,1050,,,,0
12,SBLG50,1100,,,,0
14,SBLL50,1050,,,,0
16,SALG10,1060,,,,0
18,SBRG10,1070,,,,0
20,SBRL10,1060,,,,0
22,SBLG50,1110,,,,0
24,SBLL50,1060,,,,0
26,SALL10,1050,,,,0
28,SALG10,1060,,,,0
30,SBLL50,1010,,,,0
32,SALL10,1000,,,,0
34,SALL10,990,,,,0
36,SALG10,1000,,,,0
38,SARG50,1050,,,,0
40,SBRG10,1060,,,,0
42,SALG10,1070,,,,0
44,SALG10,1080,,,,0
46,SALG10,1090,,,,0
48,SBLG50,1140,,,,0
50,SBLL50,1090,,,,0
52,SARL50,1040,,,,0
54,SALL10,1030,,,,0
56,SBRG10,1040,,,,0
58,SBRG10,1050,,,,0
60,SBRG10,1060,,,,0
62,SBLG50,1110,,,,0
64,SALL10,1100,,,,0
66,SALL10,1090,,,,0
68,SBRL10,1080,,,,0
70,SALL10,1070,,,,0
72,SALL10,1060,,,,0
2,SALG10,1070,,,,0
4,SALG10,1080,,,,0
6,SBRL10,1070,,,,0
8,SARL50,1020,,,,0
10,SBLG50,1070,,,,0
12,SBRL10,1060,,,,0
14,SALG10,1070,,,,0
16,SBRL10,1060,,,,0
18,SALL10,1050,,,,0
20,SBRG10,1060,,,,0
22,SARG50,1110,,,,0
24,SBRL10,1100,,,,0
26,SALG10,1110,,,,0
28,SBRG10,1120,,,,0
30,SALL10,1110,,,,0
32,SALG10,1120,,,,0
34,SALG10,1130,,,,0
36,SALG10,1140,,,,0
38,SALG10,1150,,,,0
40,SBRG10,1160,,,,0
42,SBRL10,1150,,,,0
44,SALG10,1160,,,,0
46,SALG10,1170,,,,0
48,SBRG10,1180,,,,0
50,SARL50,1130,,,,0
52,SARL50,1080,,,,0
54,SBRL10,1070,,,,0
56,SBRL10,1060,,,,0
58,SBLG50,1110,,,,0
60,SARL50,1060,,,,0
62,SBRL10,1050,,,,0
64,SBRG10,1060,,,,0
66,SBRG10,1070,,,,0
68,SALL10,1060,,,,0
70,SBRL10,1050,,,,0
72,SBRL10,1040,,,,0
2,SALG10,1050,,,,0
4,SBRG10,1060,,,,0
6,SALL10,1050,,,,0
8,SALL10,1040,,,,0
10,SARG50,1090,,,,0
12,SALG10,1100,,,,0
14,SALG10,1110,,,,0
16,SALL10,1100,,,,0
18,SBRL10,1090,,,,0
20,SALL10,1080,,,,0
22,SBRG10,1090,,,,0
24,SALL10,1080,,,,0
26,SALL10,1070,,,,0
28,SBRL10,1060,,,,0
30,SBRL10,1050,,,,0
32,SBRG10,1060,,,,0
34,SARG50,1110,,,,0
36,SBRG10,1120,,,,0
38,SBRL10,1110,,,,0
40,SALG10,1120,,,,0
42,SALL10,1110,,,,0
44,SBRG10,1120,,,,0
46,SBRL10,1110,,,,0
48,SALL10,1100,,,,0
50,SBRG10,1110,,,,0
52,SALG10,1120,,,,0
54,SALG10,1130,,,,0
56,SALG10,1140,,,,0
58,SBRL10,1130,,,,0
60,SBLL50,1080,,,,0
62,SBRL10,1070,,,,0
64,SALG10,1080,,,,0
66,SBRL10,1070,,,,0
68,SBRL10,1060,,,,0
70,SBRG10,1070,,,,0
72,SBLG50,1120,,,,0
2,SALG10,1130,,,,0
4,SALG10,1140,,,,0
6,SBRG10,1150,,,,0
8,SBRL10,1140,,,,0
10,SBRL10,1130,,,,0
12,SBLL50,1080,,,,0
14,SALL10,1070,,,,0
16,SARL50,1020,,,,0
18,SALG10,1030,,,,0
20,SALG10,1040,,,,0
22,SBRG10,1050,,,,0
24,SBLL50,1000,,,,0
26,SALG10,1010,,,,0
28,SALG10,1020,,,,0
30,SALG10,1030,,,,0
32,SBRG10,1040,,,,0
34,SBRG10,1050,,,,0
36,SBRL10,1040,,,,0
38,SBRL10,1030,,,,0
40,SALL10,1020,,,,0
42,SBRL10,1010,,,,0
44,SALL10,1000,,,,0
46,SALG10,1010,,,,0
48,SALG10,1020,,,,0
50,SBLG50,1070,,,,0
52,SALG10,1080,,,,0
54,SBRL10,1070,,,,0
56,SBRG10,1080,,,,0
58,SBRL10,1070,,,,0
60,SALG10,1080,,,,0
62,SALL10,1070,,,,0
64,SALG10,1080,,,,0
66,SBLL50,1030,,,,0
68,SBLL50,980,,,,0
70,SBLL50,930,,,,0
72,SALG10,940,,,,0
1,QuestionS,940,,,５０点が当たったとき，どのように感じましたか？,S6
2,QuestionS,940,,,５０点が外れたとき，どのように感じましたか？,S2
3,QuestionS,940,,,１０点が外れたとき，どのように感じましたか？,S4
4,QuestionS,940,,,１０点が当たったとき，どのように感じましたか？,S5
1,QuestionM,940,悩んでいる,1抑うつ・不安,,M2
2,QuestionM,940,だるい,3倦怠,,M3
3,QuestionM,940,つまらない,3倦怠,,M2
4,QuestionM,940,ゆっくりした,5非活動的快,,M2
5,QuestionM,940,思慮深い,7集中,,M1
6,QuestionM,940,のんびりした,5非活動的快,,M2
7,QuestionM,940,敵意のある,2敵意,,M1
8,QuestionM,940,恋しい,6親和,,M1
9,QuestionM,940,気力に満ちた,4活動的快,,M1
10,QuestionM,940,活気のある,4活動的快,,M2
11,QuestionM,940,憎らしい,2敵意,,M1
12,QuestionM,940,丁重な,7集中,,M2
13,QuestionM,940,のんきな,5非活動的快,,M2
14,QuestionM,940,むっとした,2敵意,,M2
15,QuestionM,940,すてきな,6親和,,M2
16,QuestionM,940,疲れた,3倦怠,,M4
17,QuestionM,940,愛らしい,6親和,,M2
18,QuestionM,940,いとおしい,6親和,,M1
19,QuestionM,940,びくりとした,8驚愕,,M1
20,QuestionM,940,元気いっぱいの,4活動的快,,M1
21,QuestionM,940,はつらつとした,4活動的快,,M1
22,QuestionM,940,攻撃的な,2敵意,,M2
23,QuestionM,940,注意深い,7集中,,M3
24,QuestionM,940,くよくよした,1抑うつ・不安,,M2
25,QuestionM,940,うらんだ,2敵意,,M1
26,QuestionM,940,動揺した,8驚愕,,M1
27,QuestionM,940,慎重な,7集中,,M3
28,QuestionM,940,気がかりな,1抑うつ・不安,,M2
29,QuestionM,940,驚いた,8驚愕,,M2
30,QuestionM,940,はっとした,8驚愕,,M1
31,QuestionM,940,のどかな,5非活動的快,,M1
32,QuestionM,940,おっとりした,5非活動的快,,M2
33,QuestionM,940,不安な,1抑うつ・不安,,M3
34,QuestionM,940,陽気な,4活動的快,,M2
35,QuestionM,940,退屈な,3倦怠,,M3
36,QuestionM,940,びっくりした,8驚愕,,M1
37,QuestionM,940,ていねいな,7集中,,M3
38,QuestionM,940,無気力な,3倦怠,,M1
39,QuestionM,940,好きな,6親和,,M2
40,QuestionM,940,自信がない,1抑うつ・不安,,M1
