trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SBRG10,1010,,,,0
4,SBLG50,1060,,,,0
6,SALG10,1070,,,,0
8,SBLL50,1020,,,,0
10,SALG10,1030,,,,0
12,SARL50,980,,,,0
14,SBLL50,930,,,,0
16,SARG50,980,,,,0
18,SBRL10,970,,,,0
20,SALG10,980,,,,0
22,SBRL10,970,,,,0
24,SBLL50,920,,,,0
26,SBLG50,970,,,,0
28,SBRG10,980,,,,0
30,SARG50,1030,,,,0
32,SALG10,1040,,,,0
34,SARL50,990,,,,0
36,SBRL10,980,,,,0
38,SBLL50,930,,,,0
40,SALL10,920,,,,0
42,SBRL10,910,,,,0
44,SARL50,860,,,,0
46,SBLL50,810,,,,0
48,SALG10,820,,,,0
50,SBRG10,830,,,,0
52,SALL10,820,,,,0
54,SARL50,770,,,,0
56,SBRL10,760,,,,0
58,SBLG50,810,,,,0
60,SARG50,860,,,,0
62,SALG10,870,,,,0
64,SALG10,880,,,,0
66,SBLG50,930,,,,0
68,SARG50,980,,,,0
70,SBLL50,930,,,,0
72,SARL50,880,,,,0
2,SALG10,890,,,,0
4,SALG10,900,,,,0
6,SBRL10,890,,,,0
8,SBRL10,880,,,,0
10,SBLL50,830,,,,0
12,SARG50,880,,,,0
14,SARL50,830,,,,0
16,SBLL50,780,,,,0
18,SARL50,730,,,,0
20,SALG10,740,,,,0
22,SBRL10,730,,,,0
24,SBRG10,740,,,,0
26,SARG50,790,,,,0
28,SARG50,840,,,,0
30,SBLL50,790,,,,0
32,SALG10,800,,,,0
34,SARG50,850,,,,0
36,SBRG10,860,,,,0
38,SBLL50,810,,,,0
40,SARG50,860,,,,0
42,SALL10,850,,,,0
44,SBRG10,860,,,,0
46,SBLG50,910,,,,0
48,SARL50,860,,,,0
50,SALG10,870,,,,0
52,SARG50,920,,,,0
54,SALG10,930,,,,0
56,SALG10,940,,,,0
58,SARG50,990,,,,0
60,SBRL10,980,,,,0
62,SBRL10,970,,,,0
64,SBRG10,980,,,,0
66,SBLL50,930,,,,0
68,SBLL50,880,,,,0
70,SBLL50,830,,,,0
72,SBLL50,780,,,,0
2,SALG10,790,,,,0
4,SBRG10,800,,,,0
6,SALL10,790,,,,0
8,SARG50,840,,,,0
10,SARG50,890,,,,0
12,SALG10,900,,,,0
14,SARG50,950,,,,0
16,SARG50,1000,,,,0
18,SBRL10,990,,,,0
20,SALG10,1000,,,,0
22,SBRL10,990,,,,0
24,SBLG50,1040,,,,0
26,SBLL50,990,,,,0
28,SARG50,1040,,,,0
30,SALG10,1050,,,,0
32,SBLG50,1100,,,,0
34,SALL10,1090,,,,0
36,SBLG50,1140,,,,0
38,SBRG10,1150,,,,0
40,SBLG50,1200,,,,0
42,SBLG50,1250,,,,0
44,SBLG50,1300,,,,0
46,SBRL10,1290,,,,0
48,SBLG50,1340,,,,0
50,SBRL10,1330,,,,0
52,SALL10,1320,,,,0
54,SALG10,1330,,,,0
56,SALL10,1320,,,,0
58,SARL50,1270,,,,0
60,SBRL10,1260,,,,0
62,SBRL10,1250,,,,0
64,SARL50,1200,,,,0
66,SALL10,1190,,,,0
68,SBLL50,1140,,,,0
70,SARL50,1090,,,,0
72,SBRL10,1080,,,,0
2,SALG10,1090,,,,0
4,SBRG10,1100,,,,0
6,SBLG50,1150,,,,0
8,SBRG10,1160,,,,0
10,SBRL10,1150,,,,0
12,SBLG50,1200,,,,0
14,SBRL10,1190,,,,0
16,SBRG10,1200,,,,0
18,SALL10,1190,,,,0
20,SBRL10,1180,,,,0
22,SALG10,1190,,,,0
24,SBLL50,1140,,,,0
26,SARL50,1090,,,,0
28,SBRG10,1100,,,,0
30,SBRG10,1110,,,,0
32,SARL50,1060,,,,0
34,SALG10,1070,,,,0
36,SARL50,1020,,,,0
38,SBRG10,1030,,,,0
40,SBLG50,1080,,,,0
42,SALG10,1090,,,,0
44,SALG10,1100,,,,0
46,SARL50,1050,,,,0
48,SALG10,1060,,,,0
50,SBLG50,1110,,,,0
52,SALL10,1100,,,,0
54,SBRL10,1090,,,,0
56,SALL10,1080,,,,0
58,SALG10,1090,,,,0
60,SBRG10,1100,,,,0
62,SARL50,1050,,,,0
64,SBRG10,1060,,,,0
66,SARL50,1010,,,,0
68,SARL50,960,,,,0
70,SALL10,950,,,,0
72,SBRL10,940,,,,0
1,QuestionS,940,,,１０点が外れたとき，どのように感じましたか？,S3
2,QuestionS,940,,,５０点が当たったとき，どのように感じましたか？,S7
3,QuestionS,940,,,５０点が外れたとき，どのように感じましたか？,S2
4,QuestionS,940,,,１０点が当たったとき，どのように感じましたか？,S5
1,QuestionM,940,おっとりした,5非活動的快,,M3
2,QuestionM,940,いとおしい,6親和,,M1
3,QuestionM,940,恋しい,6親和,,M1
4,QuestionM,940,むっとした,2敵意,,M3
5,QuestionM,940,愛らしい,6親和,,M1
6,QuestionM,940,憎らしい,2敵意,,M1
7,QuestionM,940,攻撃的な,2敵意,,M1
8,QuestionM,940,悩んでいる,1抑うつ・不安,,M3
9,QuestionM,940,つまらない,3倦怠,,M3
10,QuestionM,940,思慮深い,7集中,,M3
11,QuestionM,940,元気いっぱいの,4活動的快,,M1
12,QuestionM,940,自信がない,1抑うつ・不安,,M3
13,QuestionM,940,びくりとした,8驚愕,,M1
14,QuestionM,940,陽気な,4活動的快,,M3
15,QuestionM,940,のどかな,5非活動的快,,M3
16,QuestionM,940,活気のある,4活動的快,,M1
17,QuestionM,940,退屈な,3倦怠,,M3
18,QuestionM,940,慎重な,7集中,,M3
19,QuestionM,940,はっとした,8驚愕,,M2
20,QuestionM,940,すてきな,6親和,,M3
21,QuestionM,940,びっくりした,8驚愕,,M1
22,QuestionM,940,注意深い,7集中,,M3
23,QuestionM,940,好きな,6親和,,M2
24,QuestionM,940,ゆっくりした,5非活動的快,,M3
25,QuestionM,940,のんびりした,5非活動的快,,M3
26,QuestionM,940,ていねいな,7集中,,M1
27,QuestionM,940,動揺した,8驚愕,,M3
28,QuestionM,940,敵意のある,2敵意,,M1
29,QuestionM,940,気力に満ちた,4活動的快,,M2
30,QuestionM,940,丁重な,7集中,,M3
31,QuestionM,940,うらんだ,2敵意,,M1
32,QuestionM,940,無気力な,3倦怠,,M3
33,QuestionM,940,はつらつとした,4活動的快,,M2
34,QuestionM,940,のんきな,5非活動的快,,M3
35,QuestionM,940,だるい,3倦怠,,M4
36,QuestionM,940,疲れた,3倦怠,,M4
37,QuestionM,940,くよくよした,1抑うつ・不安,,M3
38,QuestionM,940,気がかりな,1抑うつ・不安,,M3
39,QuestionM,940,驚いた,8驚愕,,M2
40,QuestionM,940,不安な,1抑うつ・不安,,M3
