trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SARL50,950,,,,0
4,SALL10,940,,,,0
6,SBLG50,990,,,,0
8,SBRG10,1000,,,,0
10,SARG50,1050,,,,0
12,SARL50,1000,,,,0
14,SALL10,990,,,,0
16,SALL10,980,,,,0
18,SARL50,930,,,,0
20,SBLL50,880,,,,0
22,SALL10,870,,,,0
24,SBRL10,860,,,,0
26,SBLL50,810,,,,0
28,SARL50,760,,,,0
30,SBRG10,770,,,,0
32,SALL10,760,,,,0
34,SBRL10,750,,,,0
36,SARL50,700,,,,0
38,SARG50,750,,,,0
40,SBRG10,760,,,,0
42,SBRL10,750,,,,0
44,SBRL10,740,,,,0
46,SBLL50,690,,,,0
48,SARL50,640,,,,0
50,SBRL10,630,,,,0
52,SBRG10,640,,,,0
54,SARG50,690,,,,0
56,SBLG50,740,,,,0
58,SARG50,790,,,,0
60,SARG50,840,,,,0
62,SBLG50,890,,,,0
64,SARG50,940,,,,0
66,SALG10,950,,,,0
68,SBLG50,1000,,,,0
70,SBLG50,1050,,,,0
72,SBLG50,1100,,,,0
2,SALG10,1110,,,,0
4,SARG50,1160,,,,0
6,SBLG50,1210,,,,0
8,SBLG50,1260,,,,0
10,SARG50,1310,,,,0
12,SARG50,1360,,,,0
14,SBLG50,1410,,,,0
16,SARG50,1460,,,,0
18,SARG50,1510,,,,0
20,SBLG50,1560,,,,0
22,SBLG50,1610,,,,0
24,SBRL10,1600,,,,0
26,SALL10,1590,,,,0
28,SBRG10,1600,,,,0
30,SARG50,1650,,,,0
32,SARL50,1600,,,,0
34,SARL50,1550,,,,0
36,SBLG50,1600,,,,0
38,SBRL10,1590,,,,0
40,SARG50,1640,,,,0
42,SARL50,1590,,,,0
44,SBLG50,1640,,,,0
46,SBLG50,1690,,,,0
48,SBLG50,1740,,,,0
50,SBLL50,1690,,,,0
52,SBLG50,1740,,,,0
54,SARL50,1690,,,,0
56,SALL10,1680,,,,0
58,SBLL50,1630,,,,0
60,SBLL50,1580,,,,0
62,SALL10,1570,,,,0
64,SBLL50,1520,,,,0
66,SARL50,1470,,,,0
68,SALL10,1460,,,,0
70,SALL10,1450,,,,0
72,SBLL50,1400,,,,0
2,SBLG50,1450,,,,0
4,SARL50,1400,,,,0
6,SBRL10,1390,,,,0
8,SBRG10,1400,,,,0
10,SALG10,1410,,,,0
12,SALG10,1420,,,,0
14,SBRG10,1430,,,,0
16,SBRG10,1440,,,,0
18,SBRG10,1450,,,,0
20,SBLG50,1500,,,,0
22,SARL50,1450,,,,0
24,SBLL50,1400,,,,0
26,SALL10,1390,,,,0
28,SBRG10,1400,,,,0
30,SBLG50,1450,,,,0
32,SBLG50,1500,,,,0
34,SBRG10,1510,,,,0
36,SARL50,1460,,,,0
38,SARL50,1410,,,,0
40,SARL50,1360,,,,0
42,SBRL10,1350,,,,0
44,SALG10,1360,,,,0
46,SALL10,1350,,,,0
48,SBLG50,1400,,,,0
50,SARG50,1450,,,,0
52,SBLL50,1400,,,,0
54,SALL10,1390,,,,0
56,SBLG50,1440,,,,0
58,SARL50,1390,,,,0
60,SARL50,1340,,,,0
62,SBRG10,1350,,,,0
64,SALL10,1340,,,,0
66,SARG50,1390,,,,0
68,SBLL50,1340,,,,0
70,SALG10,1350,,,,0
72,SARL50,1300,,,,0
2,SARL50,1250,,,,0
4,SBRG10,1260,,,,0
6,SBRL10,1250,,,,0
8,SBLL50,1200,,,,0
10,SBLG50,1250,,,,0
12,SBLG50,1300,,,,0
14,SALL10,1290,,,,0
