trialnum,trialcode,values.CurrentScore,values.QuestionM,values.QuestionM2,values.QuestionS,response
2,SALL10,990,,,,0
4,SBRG10,1000,,,,0
6,SALG10,1010,,,,0
8,SBRL10,1000,,,,0
10,SBLG50,1050,,,,0
12,SBLL50,1000,,,,0
14,SALL10,990,,,,0
16,SALL10,980,,,,0
18,SBLG50,1030,,,,0
20,SARL50,980,,,,0
22,SALG10,990,,,,0
24,SBRL10,980,,,,0
26,SARG50,1030,,,,0
28,SALL10,1020,,,,0
30,SBLL50,970,,,,0
32,SBLL50,920,,,,0
34,SBLL50,870,,,,0
36,SBRL10,860,,,,0
38,SALG10,870,,,,0
40,SBLG50,920,,,,0
42,SALG10,930,,,,0
44,SBRG10,940,,,,0
46,SBLL50,890,,,,0
48,SBLL50,840,,,,0
50,SBLL50,790,,,,0
52,SBLG50,840,,,,0
54,SALL10,830,,,,0
56,SALG10,840,,,,0
58,SBRL10,830,,,,0
60,SBLL50,780,,,,0
62,SALL10,770,,,,0
64,SALG10,780,,,,0
66,SALG10,790,,,,0
68,SALG10,800,,,,0
70,SALG10,810,,,,0
72,SALG10,820,,,,0
2,SBRL10,810,,,,0
4,SALG10,820,,,,0
6,SBLG50,870,,,,0
8,SBRG10,880,,,,0
10,SARG50,930,,,,0
12,SALL10,920,,,,0
14,SBLG50,970,,,,0
16,SBLG50,1020,,,,0
18,SARG50,1070,,,,0
20,SBLL50,1020,,,,0
22,SALG10,1030,,,,0
24,SBLL50,980,,,,0
26,SALL10,970,,,,0
28,SBLG50,1020,,,,0
30,SARG50,1070,,,,0
32,SBLG50,1120,,,,0
34,SBLL50,1070,,,,0
36,SBLL50,1020,,,,0
38,SALG10,1030,,,,0
40,SBLG50,1080,,,,0
42,SALG10,1090,,,,0
44,SARL50,1040,,,,0
46,SBLG50,1090,,,,0
48,SALL10,1080,,,,0
50,SALG10,1090,,,,0
52,SARG50,1140,,,,0
54,SBLG50,1190,,,,0
56,SBLL50,1140,,,,0
58,SARG50,1190,,,,0
60,SALL10,1180,,,,0
62,SBRL10,1170,,,,0
64,SALL10,1160,,,,0
66,SALL10,1150,,,,0
68,SBLL50,1100,,,,0
70,SBLL50,1050,,,,0
72,SALL10,1040,,,,0
2,SBLL50,990,,,,0
4,SBLG50,1040,,,,0
6,SALG10,1050,,,,0
8,SBRL10,1040,,,,0
10,SBLG50,1090,,,,0
12,SBLG50,1140,,,,0
14,SBLL50,1090,,,,0
16,SALG10,1100,,,,0
18,SBRL10,1090,,,,0
20,SALG10,1100,,,,0
22,SBRL10,1090,,,,0
24,SBLL50,1040,,,,0
